#,Token,Transfers (24H),Transfers (3D),contract
1,MoonLanderz,36832,72017,0x72b12aec69da93357f2b69acf33d5b75cf17575b
2,Karafuru3D,38554,38554,0x269641a320f8465ef4e710f51dc6e6862d7e8a77
3,"Ethereum Name Service (ENS)ENS offers a secure & decentralised way to address resources both on and off the blockchain using simple, human-readable names.",22544,35963,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85
4,CryptoNinjaPartners,25693,27450,0x845a007d9f283614f403a24e3eb3455f720559ca
5,Genesis,11043,16316,0xd8a5d498ab43Ed060cb6629b97a19e3e4276dD9f
6,Metroverse Mini City Block,4215,13627,0x7a1EB86c35136143DDA358D4A2d8AC25C4902388
7,ATEM Car Club Cards,4888,12894,0x020cdC4775366aE436f13A7D333143432e884934
8,CyberPhunks,947,11984,0xAF2F7AecFC0152ee05af78B756E46ecBAAdC5b61
9,PLUR,1954,11723,0x8e37ddc122cc8af0a47785d060e091d1fbd94941
10,Aoki,4,10004,0x752a4054cc134b21a2e981c693d6e097888c71ec
11,KryptoKiddos,10000,10000,0x000C9f7BCCB554E8c3B36A1e8331CbC669E46d1c
12,Bored Ape Yacht Club,8332,8332,0x5E14097dAEb9b91c4354E2280DfBa01C68E3e103
13,FighterThe on-chain idle MMO.,3660,7163,0x87E738a3d5E5345d6212D8982205A564289e6324
14,Brushme,7000,7000,0x2Ea3898BE31B0aE3782c8F7642553EcC459767d9
15,"projectPXNThe underbelly of Web3. A shadow vague, formless, but eternal.",1054,5624,0x160C404B2b49CBC3240055CEaEE026df1e8497A0
